day,event_count
2012-05-01,4964
2012-05-02,3403
2012-05-03,4630
2012-05-04,4845
2012-05-05,3747
2012-05-06,4182
2012-05-07,3589
2012-05-08,3269
2012-05-09,3932
2012-05-10,4889
2012-05-11,4659
2012-05-12,5268
2012-05-13,3886
2012-05-14,7075
2012-05-15,8216
2012-05-16,9962
2012-05-17,8068
2012-05-18,3792
2012-05-19,3268
2012-05-20,4436
2012-05-21,5460
2012-05-22,4808
2012-05-23,4280
2012-05-24,5196
2012-05-25,4634
2012-05-26,3602
2012-05-27,3626
2012-05-28,7871
2012-05-29,4542
2012-05-30,3107
2012-05-31,4021
2012-06-01,3890
2012-06-02,4124
2012-06-03,4510
2012-06-04,4766
2012-06-05,4496
2012-06-06,5092
2012-06-07,4898
2012-06-08,5378
2012-06-09,3144
2012-06-10,5453
2012-06-11,11554
2012-06-12,8326
2012-06-13,9004
2012-06-14,7158
2012-06-15,3468
2012-06-16,3106
2012-06-17,2858
2012-06-18,4718
2012-06-19,5198
2012-06-20,3964
2012-06-21,2838
2012-06-22,3372
2012-06-23,2658
2012-06-24,3192
2012-06-25,7114
2012-06-26,4468
2012-06-27,4942
2012-06-28,4586
2012-06-29,3346
2012-06-30,4238
2012-07-01,3472
2012-07-02,5004
2012-07-03,6314
2012-07-04,5266
2012-07-05,4102
2012-07-06,3014
2012-07-07,3806
2012-07-08,3504
2012-07-09,6160
2012-07-10,4796
2012-07-11,4499
2012-07-12,3790
2012-07-13,3422
2012-07-14,4176
2012-07-15,4420
2012-07-16,4671
2012-07-17,4632
2012-07-18,4184
2012-07-19,3985
2012-07-20,3242
2012-07-21,3588
2012-07-22,3880
2012-07-23,6702
2012-07-24,4815
2012-07-25,3478
2012-07-26,4980
2012-07-27,4316
2012-07-28,3940
2012-07-29,4588
2012-07-30,4557
2012-07-31,7028
2012-08-01,11304
2012-08-02,11048
2012-08-03,7335
2012-08-04,10036
2012-08-05,5023
2012-08-06,4
2012-08-07,12
2012-08-08,6
2012-08-09,6564
2012-08-10,11474
2012-08-11,12414
2012-08-12,10313
2012-08-13,9880
2012-08-14,11808
2012-08-15,12186
2012-08-16,6570
2012-08-17,5332
2012-08-18,3718
2012-08-19,4270
2012-08-20,6754
2012-08-21,4462
2012-08-22,4664
2012-08-23,4644
2012-08-24,3892
2012-08-25,4068
2012-08-26,3508
2012-08-27,4453
2012-08-28,3950
2012-08-29,4286
2012-08-30,4923
2012-08-31,4406
2012-09-01,4416
2012-09-02,5096
2012-09-03,7685
2012-09-04,5249
2012-09-05,4386
2012-09-06,5368
2012-09-07,4131
2012-09-08,4416
2012-09-09,3779
2012-09-10,5706
2012-09-11,6226
2012-09-12,3264
2012-09-13,5138
2012-09-14,3887
2012-09-15,4713
2012-09-16,3996
2012-09-17,7538
2012-09-18,5024
2012-09-19,5351
2012-09-20,5866
2012-09-21,3902
2012-09-22,5154
2012-09-23,4768
2012-09-24,5122
2012-09-25,5008
2012-09-26,4811
2012-09-27,6075
2012-09-28,1573
2012-09-29,12
2012-09-30,1506
2012-10-01,7107
2012-10-02,4502
2012-10-03,5537
2012-10-04,4996
2012-10-05,4522
2012-10-06,3296
2012-10-07,4176
2012-10-08,4227
2012-10-09,5448
2012-10-10,5286
2012-10-11,4392
2012-10-12,3850
2012-10-13,4814
2012-10-14,3018
2012-10-15,6506
2012-10-16,4371
2012-10-17,3480
2012-10-18,5128
2012-10-19,3548
2012-10-20,3803
2012-10-21,4235
2012-10-22,4446
2012-10-23,4403
2012-10-24,3786
2012-10-25,4767
2012-10-26,3934
2012-10-27,3330
2012-10-28,4790
2012-10-29,6746
2012-10-30,4176
2012-10-31,4164
2012-11-01,3342
2012-11-02,5064
2012-11-03,3262
2012-11-04,4604
2012-11-05,5761
2012-11-06,498
2012-11-07,5033
2012-11-08,5185
2012-11-09,3239
2012-11-10,3658
2012-11-11,3909
2012-11-12,7358
2012-11-13,5240
2012-11-14,3237
2012-11-15,4475
2012-11-16,4361
2012-11-17,5795
2012-11-18,4353
2012-11-19,4203
2012-11-20,24
2012-11-24,3228
2012-11-25,5346
2012-11-26,7726
2012-11-27,5325
2012-11-28,6288
2012-11-29,5941
2012-11-30,4913
2012-12-01,4050
2012-12-02,4402
2012-12-03,6288
2012-12-04,6294
2012-12-05,6244
2012-12-06,5362
2012-12-07,4300
2012-12-08,3950
2012-12-09,5482
2012-12-10,8805
2012-12-11,6666
2012-12-12,4431
2012-12-13,5451
2012-12-14,6044
2012-12-15,4948
2012-12-16,4379
2012-12-17,6537
2012-12-18,6486
2012-12-19,6081
2012-12-20,6758
2012-12-21,10952
2012-12-22,7611
2012-12-23,8524
2012-12-24,9555
2012-12-25,5299
2012-12-26,9938
2012-12-27,7061
2012-12-28,4823
2012-12-29,2877
2012-12-30,4007
2012-12-31,4811
2013-01-01,3158
2013-01-02,5159
2013-01-03,5112
2013-01-04,3265
2013-01-05,3398
2013-01-06,3910
2013-01-07,5443
2013-01-08,12
2013-01-09,10
2013-01-10,2749
2013-01-11,5227
2013-01-12,4732
2013-01-13,4098
2013-01-14,4459
2013-01-15,4026
2013-01-16,4002
2013-01-17,3422
2013-01-18,4047
2013-01-19,4313
2013-01-20,4389
2013-01-21,5492
2013-01-22,3971
2013-01-23,4133
2013-01-24,3820
2013-01-25,3645
2013-01-26,4375
2013-01-27,5407
2013-01-28,4594
2013-01-29,4300
2013-01-30,2412
2013-01-31,3209
2013-02-01,3515
2013-02-02,4228
2013-02-03,4934
2013-02-04,7890
2013-02-05,3369
2013-02-06,3676
2013-02-07,4423
2013-02-08,5323
2013-02-09,3694
2013-02-10,4049
2013-02-11,4956
2013-02-12,5246
2013-02-13,4567
2013-02-14,4486
2013-02-15,4673
2013-02-16,4342
2013-02-17,4091
2013-02-18,6898
2013-02-19,3903
2013-02-20,4265
2013-02-21,4480
2013-02-22,2749
2013-02-23,3486
2013-02-24,4246
2013-02-25,3821
2013-02-26,3935
2013-02-27,4006
2013-02-28,2377
2013-03-01,2263
2013-03-02,2688
2013-03-03,4004
2013-03-04,7134
2013-03-05,4948
2013-03-06,5240
2013-03-07,3864
2013-03-08,3674
2013-03-09,3204
2013-03-10,3848
2013-03-11,4992
2013-03-12,4119
2013-03-13,4532
2013-03-14,4714
2013-03-15,4366
2013-03-16,4208
2013-03-17,4894
2013-03-18,7239
2013-03-19,6240
2013-03-20,4776
2013-03-21,5967
2013-03-22,3854
2013-03-23,5348
2013-03-24,4962
2013-03-25,4504
2013-03-26,5038
2013-03-27,6037
2013-03-28,6891
2013-03-29,5534
2013-03-30,4501
2013-03-31,4132
2013-04-01,6460
2013-04-02,5607
2013-04-03,3234
2013-04-04,4636
2013-04-05,4498
2013-04-06,3504
2013-04-07,3354
2013-04-08,2782
2013-04-09,2572
2013-04-10,4226
2013-04-11,4523
2013-04-12,5918
2013-04-13,4588
2013-04-14,4340
2013-04-15,6824
2013-04-16,3825
2013-04-17,3866
2013-04-18,5190
2013-04-19,4681
2013-04-20,4128
2013-04-21,3278
2013-04-22,4018
2013-04-23,4130
2013-04-24,3824
2013-04-25,3874
2013-04-26,3844
2013-04-27,2226
2013-04-28,3914
2013-04-29,6352
2013-04-30,4282
2013-05-01,4412
2013-05-02,4892
2013-05-03,3950
2013-05-04,2816
2013-05-05,5250
2013-05-06,4626
2013-05-07,4962
2013-05-08,5378
2013-05-09,7777
2013-05-10,7371
2013-05-11,6040
2013-05-12,7117
2013-05-13,8256
2013-05-14,2272
2013-05-15,4446
2013-05-16,3210
2013-05-17,3174
2013-05-18,3956
2013-05-19,2698
2013-05-20,2942
2013-05-21,3988
2013-05-22,4828
2013-05-23,3928
2013-05-24,3450
2013-05-25,2414
2013-05-26,3506
2013-05-27,5896
2013-05-28,3479
2013-05-29,3340
2013-05-30,3058
2013-05-31,3220
2013-06-01,2270
2013-06-02,3306
2013-06-03,2056
2013-06-04,1740
2013-06-05,3696
2013-06-06,3250
2013-06-07,2672
2013-06-08,3754
2013-06-09,2512
2013-06-10,5888
2013-06-11,4638
2013-06-12,3822
2013-06-13,3191
2013-06-14,2855
2013-06-15,3412
2013-06-16,2290
2013-06-17,2750
2013-06-18,3454
2013-06-19,2468
2013-06-20,3613
2013-06-21,2956
2013-06-22,2360
2013-06-23,2254
2013-06-24,5683
2013-06-25,3098
2013-06-26,3330
2013-06-27,2950
2013-06-28,2748
2013-06-29,3398
2013-06-30,2452
2013-07-01,2726
2013-07-02,2628
2013-07-03,3426
2013-07-04,2104
2013-07-05,2630
2013-07-06,2230
2013-07-07,2858
2013-07-08,3252
2013-07-09,3809
2013-07-10,2568
2013-07-11,2262
2013-07-12,4126
2013-07-13,2666
2013-07-14,3430
2013-07-15,2412
2013-07-16,3272
2013-07-17,2476
2013-07-18,2441
2013-07-19,2116
2013-07-20,1824
2013-07-21,2212
2013-07-22,5421
2013-07-23,1696
2013-07-24,2592
2013-07-25,2324
2013-07-26,4686
2013-07-27,3498
2013-07-28,3770
2013-07-29,3998
2013-07-30,4050
2013-07-31,3130
2013-08-01,3670
2013-08-02,2534
2013-08-03,3612
2013-08-04,3606
2013-08-05,6406
2013-08-06,3324
2013-08-07,3602
2013-08-08,3702
2013-08-09,2760
2013-08-10,3192
2013-08-11,3552
2013-08-12,3728
2013-08-13,4120
2013-08-14,3958
2013-08-15,2940
2013-08-16,2376
2013-08-17,2652
2013-08-18,3258
2013-08-19,6208
2013-08-20,4886
2013-08-21,3420
2013-08-22,3262
2013-08-23,3224
2013-08-24,2977
2013-08-25,3110
2013-08-26,3040
2013-08-27,3538
2013-08-28,2164
2013-08-29,3472
2013-08-30,2152
2013-08-31,3353
2013-09-01,2668
2013-09-02,5910
2013-09-03,3716
2013-09-04,2162
2013-09-05,3584
2013-09-06,2440
2013-09-07,3024
2013-09-08,3740
2013-09-09,4154
2013-09-10,3702
2013-09-11,3538
2013-09-12,3334
2013-09-13,3696
2013-09-14,4092
2013-09-15,2996
2013-09-16,3782
2013-09-17,3890
2013-09-18,4544
2013-09-19,3164
2013-09-20,3883
2013-09-21,4210
2013-09-22,3330
2013-09-23,6314
2013-09-24,3324
2013-09-25,4596
2013-09-26,3514
2013-09-27,3862
2013-09-28,2944
2013-09-29,3188
2013-09-30,3802
2013-10-01,3442
2013-10-02,2680
2013-10-03,6318
2013-10-04,2294
2013-10-05,4082
2013-10-06,2758
2013-10-07,3408
2013-10-08,4242
2013-10-09,5873
2013-10-10,7460
2013-10-11,7438
2013-10-12,8142
2013-10-13,11144
2013-10-14,7893
2013-10-15,3468
2013-10-16,3088
2013-10-17,3716
2013-10-18,3018
2013-10-19,3226
2013-10-20,2776
2013-10-21,3638
2013-10-22,2818
2013-10-23,3238
2013-10-24,4052
2013-10-25,3282
2013-10-26,3990
2013-10-27,2690
2013-10-28,5007
2013-10-29,1898
2013-10-30,7286
2013-10-31,9551
2013-11-01,6892
2013-11-02,7834
2013-11-03,5724
2013-11-04,6370
2013-11-05,9352
2013-11-06,6820
2013-11-07,10215
2013-11-08,9457
2013-11-09,8964
2013-11-10,6938
2013-11-11,10746
2013-11-12,7040
2013-11-13,9278
2013-11-14,10773
2013-11-15,9115
2013-11-16,9260
2013-11-17,6073
2013-11-18,7178
2013-11-19,10549
2013-11-20,9015
2013-11-21,8868
2013-11-22,9791
2013-11-23,7914
2013-11-24,5797
2013-11-25,10766
2013-11-26,7613
2013-11-27,7440
2013-11-28,9817
2013-11-29,7928
2013-11-30,7138
2013-12-01,5590
2013-12-02,8300
2013-12-03,7634
2013-12-04,6756
2013-12-05,9457
2013-12-06,8305
2013-12-07,8848
2013-12-08,5607
2013-12-09,8226
2013-12-10,6926
2013-12-11,6816
2013-12-12,8006
2013-12-13,7561
2013-12-14,7740
2013-12-15,5452
2013-12-16,7355
2013-12-17,6624
2013-12-18,6512
2013-12-19,9937
2013-12-20,8513
2013-12-21,8473
2013-12-22,9187
2013-12-23,11821
2013-12-24,11921
2013-12-25,7310
2013-12-26,7371
2013-12-27,5612
2013-12-28,5951
2013-12-29,4130
2013-12-30,6281
2013-12-31,5451
2014-01-01,5987
2014-01-02,8387
2014-01-03,6840
2014-01-04,7073
2014-01-05,3274
2014-01-06,6474
2014-01-07,4132
2014-01-08,4357
2014-01-09,7196
2014-01-10,5573
2014-01-11,4909
2014-01-12,4131
2014-01-13,5076
2014-01-14,4671
2014-01-15,4534
2014-01-16,6395
2014-01-17,5403
2014-01-18,5341
2014-01-19,3722
2014-01-20,6706
2014-01-21,5527
2014-01-22,4407
2014-01-23,5800
2014-01-24,5784
2014-01-25,4796
2014-01-26,2998
2014-01-27,5582
2014-01-28,5168
2014-01-29,4764
2014-01-30,5648
2014-01-31,6210
2014-02-01,6139
2014-02-02,3466
2014-02-03,5306
2014-02-04,4936
2014-02-05,5114
2014-02-06,6254
2014-02-07,5664
2014-02-08,6471
2014-02-09,4398
2014-02-10,5726
2014-02-11,4440
2014-02-12,4201
2014-02-13,5672
2014-02-14,5608
2014-02-15,6705
2014-02-16,7846
2014-02-17,7608
2014-02-18,6238
2014-02-19,5966
2014-02-20,4605
2014-02-21,5573
2014-02-22,4273
2014-02-23,4194
2014-02-24,4901
2014-02-25,4106
2014-02-26,3773
2014-02-27,6354
2014-02-28,5758
2014-03-01,5410
2014-03-02,2500
2014-03-03,6817
2014-03-04,4720
2014-03-05,4851
2014-03-06,4829
2014-03-07,5560
2014-03-08,6947
2014-03-09,6278
2014-03-10,7454
2014-03-11,3427
2014-03-12,3693
2014-03-13,3759
2014-03-14,1215
2014-03-15,2
2014-03-16,726
2014-03-18,4
2014-03-20,4
2014-03-21,4
2014-03-22,311
2014-03-23,2
2014-03-26,4
2014-03-27,46
2014-03-30,1104
2014-04-01,412
2014-04-02,2
2014-04-03,230
2014-04-04,1098
2014-04-05,4328
2014-04-06,1188
2014-04-07,3582
2014-04-08,1362
2014-04-09,7212
2014-04-10,1158
2014-04-11,1008
2014-04-12,4662
2014-04-13,1336
2014-04-14,62
2014-04-15,2248
2014-04-16,49
